farm_id,growth_rate_timestamp,growth_rate,weather_data_count,date_cos,avg_air_temperature_celsius_24h,min_air_temperature_celsius_24h,max_air_temperature_celsius_24h,median_air_temperature_celsius_24h,var_air_temperature_celsius_24h,max_global_horizontal_irradiance_24h,avg_ghi_18h_10h_utc,median_ghi_18h_10h_utc,total_sunshine_duration_24h,max_precipitation_rate_24h,var_precipitation_rate_24h,total_rain_duration_24h,growing_degree_days_24h
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-04-02 10:00:00,31.23194,48,0.20931464596304847,12.791666666666666,8.0,21.0,11.5,22.50886524822695,739.0,278.86764705882354,255.0,11.0,0.0,0.0,0.0,7.791666666666667
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-03-24 10:00:00,38.01199,48,0.35769823883312546,15.479166666666666,12.0,20.0,14.0,9.488918439716313,704.0,222.48529411764707,66.5,10.0,0.9,0.09898936170212766,7.0,10.479166666666666
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-03-19 10:00:00,41.58564,48,0.43665123195606403,13.375,9.0,19.0,12.0,14.792553191489361,875.0,376.79411764705884,345.0,11.5,0.0,0.0,0.0,8.375
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-03-11 10:00:00,39.99771,48,0.5560174366570446,15.208333333333334,9.0,22.0,15.5,21.147163120567374,709.0,235.22058823529412,202.5,11.5,0.0,0.0,0.0,10.208333333333334
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-03-10 10:00:00,56.83858,48,0.5702422926917871,15.8125,10.0,23.0,14.0,20.70877659574468,911.0,397.0735294117647,374.0,12.0,0.0,0.0,0.0,10.8125
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-03-04 10:00:00,51.52688,48,0.6518989958787126,18.083333333333332,14.0,23.0,18.0,4.120567375886524,307.0,94.86764705882354,66.0,11.5,5.6,1.990318040780142,12.0,13.083333333333334
27483c52-38f9-4148-bdc4-2be4c30f690b,2024-01-30 10:00:00,31.95439,48,0.9623090774541486,16.583333333333332,10.0,24.0,16.0,27.780141843971627,982.0,483.45588235294116,513.0,13.5,0.0,0.0,0.0,11.583333333333334
066ecc54-39b6-4ec4-9fb2-a79ca3456c7d,2024-11-28 10:00:00,74.91499,48,0.7025274741691566,16.604166666666668,11.0,24.0,15.0,24.457003546099294,1008.0,400.44117647058823,256.5,13.5,0.0,0.0,0.0,11.604166666666666
28e1e31a-ab51-4bcb-84f7-f767e349c9af,2024-09-30 10:00:00,39.6219,48,-0.23449138957041052,9.0,4.0,16.0,8.0,19.02127659574468,800.0,346.1764705882353,319.5,11.5,0.0,0.0,0.0,4.1875
2a0419db-c933-4072-b370-96b99be23f54,2024-11-13 10:00:00,48.3897,48,0.4975132889071803,16.291666666666668,12.0,20.0,16.5,8.817375886524822,539.0,203.16176470588235,153.0,12.5,0.8,0.06440492021276596,8.0,11.291666666666666
ec7ea766-e197-4494-8585-ce3be39f661c,2024-10-20 10:00:00,63.68524,48,0.10738134666416306,12.854166666666666,8.0,20.0,12.0,19.105939716312058,891.0,370.3235294117647,290.5,12.5,0.0,0.0,0.0,7.854166666666667
89ff4b82-803f-4e84-9827-2256e76f3f0a,2024-10-05 10:00:00,71.7243,48,-0.15005539834465262,10.135416666666666,6.0,16.0,8.0,12.539782801418442,821.0,333.61764705882354,253.5,12.0,0.1,0.0004078014184397162,1.0,5.135416666666667
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-07-09 11:00:00,7.51683,48,-0.9955213724144752,5.15625,2.0,10.0,4.0,6.299534574468085,382.0,122.19117647058823,17.0,8.5,0.0,0.0,0.0,1.09375
3ce34b33-0f30-482e-bb37-d153d7aa8a4a,2024-11-07 10:00:00,96.02162,48,0.4054257283599973,16.864583333333332,12.0,24.0,15.5,21.135527482269506,954.0,451.20588235294116,489.5,13.5,0.0,0.0,0.0,11.864583333333334
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-10-07 10:00:00,87.49048,48,-0.11593459959550066,11.916666666666666,8.0,18.0,10.0,11.822695035460992,815.0,225.08823529411765,172.0,11.5,0.8,0.033882978723404254,3.0,6.916666666666667
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-10-06 10:00:00,55.84498,48,-0.13301470653419636,10.666666666666666,6.0,17.0,10.0,15.790780141843971,797.0,303.2647058823529,257.0,11.5,0.1,0.00040780141843971637,1.0,5.666666666666667
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-10-05 10:00:00,54.15755,48,-0.15005539834465262,9.364583333333334,5.0,16.0,7.0,14.018506205673761,825.0,326.52941176470586,218.0,11.5,0.1,0.0007801418439716313,2.0,4.364583333333333
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-10-04 10:00:00,45.06807,48,-0.1670516255021195,9.229166666666666,7.0,13.0,8.0,3.8399822695035457,798.0,284.38235294117646,253.5,11.5,0.9,0.06701684397163121,14.5,4.229166666666667
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-10-03 10:00:00,47.83838,48,-0.18399835165767986,7.59375,7.0,9.0,7.0,0.5176196808510638,291.0,93.8529411764706,94.0,11.0,2.1,0.46191046099290783,13.0,2.59375
0d9d49d0-3e6c-40e1-9007-c33e07c6dbd6,2024-11-24 10:00:00,74.62977,48,0.6518989958787125,9.604166666666666,3.0,16.0,9.5,22.797429078014183,960.0,410.3970588235294,406.0,14.0,0.0,0.0,0.0,4.875
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-03-29 10:00:00,66.94088,48,0.27609697309746883,8.364583333333334,4.0,14.0,9.0,13.869570035460992,713.0,283.6764705882353,195.0,10.5,0.3,0.007897828014184398,4.0,3.6145833333333335
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-03-26 10:00:00,65.88582,48,0.3253420847119801,12.458333333333334,9.0,18.0,12.0,6.413120567375886,716.0,238.55882352941177,145.5,11.0,0.0,0.0,0.0,7.458333333333333
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-03-20 10:00:00,56.88874,48,0.4211008707960896,10.385416666666666,4.0,18.0,10.0,26.087655141843967,761.0,329.5,298.0,11.5,0.0,0.0,0.0,5.40625
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-03-16 10:00:00,55.57594,48,0.48250774176121847,9.114583333333334,3.0,17.0,9.5,27.11957003546099,747.0,300.7647058823529,270.5,11.5,0.0,0.0,0.0,4.677083333333333
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-03-11 10:00:00,56.98327,48,0.5560174366570446,14.833333333333334,10.0,21.0,14.0,8.76950354609929,289.0,89.36764705882354,100.0,11.0,0.3,0.00849290780141844,8.0,9.833333333333334
01b6acd6-ff5e-4942-aef6-380d6d1839dd,2024-09-08 11:00:00,51.90621,48,-0.5772916165517278,11.604166666666666,6.0,16.0,12.0,7.648492907801417,756.0,274.30882352941177,218.5,10.5,0.5,0.0118040780141844,4.5,6.604166666666667
e2f6b76c-7ad5-4db0-a70f-107e3e2fd32f,2024-10-23 10:00:00,76.1435,48,0.15855938510313475,14.625,8.0,22.0,14.0,29.898936170212767,909.0,342.19117647058823,207.0,11.5,0.0,0.0,0.0,9.625
153edafb-f090-490c-83cb-b24d1d2ecb83,2024-12-03 10:00:00,83.84675,48,0.7611042586607742,18.677083333333332,11.0,24.0,19.5,21.813718971631204,995.0,410.9117647058824,288.0,14.0,0.0,0.0,0.0,13.677083333333334
2a0419db-c933-4072-b370-96b99be23f54,2024-08-01 11:00:00,22.9103,48,-0.9549667548552553,9.1875,6.0,14.0,9.0,7.559840425531915,532.0,146.80882352941177,54.0,9.0,0.4,0.013333333333333336,8.0,4.1875
89ff4b82-803f-4e84-9827-2256e76f3f0a,2024-12-31 10:00:00,92.93273,48,0.9750645322571945,11.75,11.0,13.0,12.0,0.5319148936170213,332.0,121.3970588235294,131.0,13.5,1.6,0.20824468085106387,23.0,6.75
066ecc54-39b6-4ec4-9fb2-a79ca3456c7d,2024-12-27 10:00:00,56.76081,48,0.9574851883550389,18.114583333333332,14.0,24.0,17.5,13.587655141843973,1066.0,519.6470588235294,496.0,14.0,0.0,0.0,0.0,13.114583333333334
18f2c3c5-468a-4c37-9c80-fbcd351418c6,2024-04-02 10:00:00,46.22998,48,0.20931464596304847,9.59375,7.0,14.0,9.0,6.9005984042553195,291.0,111.91176470588235,118.0,10.5,0.0,0.0,0.0,4.59375
71f7ad21-df36-449f-a624-52283cfb0c28,2024-12-10 10:00:00,71.5345,48,0.8335557718385695,11.729166666666666,9.0,15.0,12.0,2.967641843971631,582.0,236.3235294117647,227.0,13.5,1.2,0.12187500000000001,11.0,6.729166666666667
2b0a307f-1ab9-4b91-9933-8ef8d4daa3c8,2024-12-05 10:00:00,62.90412,48,0.7829801036770625,18.302083333333332,13.0,25.0,17.0,12.975953014184396,718.0,265.04411764705884,200.0,14.0,0.1,0.0007801418439716313,2.0,13.302083333333334
